interaction_id,user_id,recipe_id,type,rating,timestamp
i_0061,user_112,r_0019,view,,2025-11-18T08:43:00Z
i_0062,user_113,r_0020,view,,2025-11-18T08:44:00Z
i_0063,user_114,r_curd_rice_0001,view,,2025-11-18T09:00:00Z
i_0064,user_115,r_curd_rice_0001,like,,2025-11-18T09:02:00Z
i_0065,user_100,r_0002,view,,2025-11-18T09:05:00Z
i_0066,user_101,r_0003,like,,2025-11-18T09:06:00Z
i_0067,user_102,r_0004,attempt,,2025-11-18T09:07:00Z
i_0068,user_103,r_0005,view,,2025-11-18T09:08:00Z
i_0069,user_104,r_0006,view,,2025-11-18T09:09:00Z
i_0070,user_105,r_0007,view,,2025-11-18T09:10:00Z
i_0071,user_106,r_0008,like,,2025-11-18T09:11:00Z
i_0072,user_107,r_0009,view,,2025-11-18T09:12:00Z
i_0073,user_108,r_0010,view,,2025-11-18T09:13:00Z
i_0074,user_109,r_0011,like,,2025-11-18T09:14:00Z
i_0075,user_110,r_0012,view,,2025-11-18T09:15:00Z
i_0076,user_111,r_0013,rating,5.0,2025-11-18T09:16:00Z
i_0077,user_112,r_0014,view,,2025-11-18T09:17:00Z
i_0078,user_113,r_0015,view,,2025-11-18T09:18:00Z
i_0079,user_114,r_0016,like,,2025-11-18T09:19:00Z
i_0080,user_115,r_0017,view,,2025-11-18T09:20:00Z
i_0081,user_100,r_0018,view,,2025-11-18T09:21:00Z
i_0082,user_101,r_0019,attempt,,2025-11-18T09:22:00Z
i_0083,user_102,r_0020,like,,2025-11-18T09:23:00Z
i_0084,user_103,r_curd_rice_0001,rating,5.0,2025-11-18T09:24:00Z
i_0085,user_104,r_0002,view,,2025-11-18T09:25:00Z
i_0086,user_105,r_0003,view,,2025-11-18T09:26:00Z
i_0087,user_106,r_0004,like,,2025-11-18T09:27:00Z
i_0088,user_107,r_0005,view,,2025-11-18T09:28:00Z
i_0089,user_108,r_0006,rating,4.0,2025-11-18T09:29:00Z
i_0090,user_109,r_0007,view,,2025-11-18T09:30:00Z
i_0091,user_110,r_0008,view,,2025-11-18T09:31:00Z
i_0092,user_111,r_0009,like,,2025-11-18T09:32:00Z
i_0093,user_112,r_0010,view,,2025-11-18T09:33:00Z
i_0094,user_113,r_0011,view,,2025-11-18T09:34:00Z
i_0095,user_114,r_0012,like,,2025-11-18T09:35:00Z
i_0096,user_115,r_0013,view,,2025-11-18T09:36:00Z
i_0097,user_100,r_0014,view,,2025-11-18T09:37:00Z
i_0098,user_101,r_0015,attempt,,2025-11-18T09:38:00Z
i_0099,user_102,r_0016,like,,2025-11-18T09:39:00Z
i_0100,user_103,r_0017,view,,2025-11-18T09:40:00Z
i_0101,user_104,r_0018,view,,2025-11-18T09:41:00Z
i_0102,user_105,r_0019,like,,2025-11-18T09:42:00Z
i_0103,user_106,r_0020,view,,2025-11-18T09:43:00Z
i_0104,user_107,r_curd_rice_0001,view,,2025-11-18T10:00:00Z
i_0105,user_108,r_curd_rice_0001,like,,2025-11-18T10:02:00Z
i_0106,user_109,r_0002,rating,5.0,2025-11-18T10:05:00Z
i_0107,user_110,r_0003,view,,2025-11-18T10:06:00Z
i_0108,user_111,r_0004,view,,2025-11-18T10:07:00Z
i_0109,user_112,r_0005,like,,2025-11-18T10:08:00Z
i_0110,user_113,r_0006,view,,2025-11-18T10:09:00Z
i_0111,user_114,r_0007,rating,4.0,2025-11-18T10:10:00Z
i_0112,user_115,r_0008,view,,2025-11-18T10:11:00Z
i_0113,user_100,r_0009,view,,2025-11-18T10:12:00Z
i_0114,user_101,r_0010,like,,2025-11-18T10:13:00Z
i_0115,user_102,r_0011,view,,2025-11-18T10:14:00Z
i_0116,user_103,r_0012,view,,2025-11-18T10:15:00Z
i_0117,user_104,r_0013,like,,2025-11-18T10:16:00Z
i_0118,user_105,r_0014,view,,2025-11-18T10:17:00Z
i_0119,user_106,r_0015,view,,2025-11-18T10:18:00Z
i_0120,user_107,r_0016,rating,5.0,2025-11-18T10:19:00Z
i_0121,user_108,r_0017,view,,2025-11-18T10:20:00Z
i_0122,user_109,r_0018,view,,2025-11-18T10:21:00Z
i_0123,user_110,r_0019,like,,2025-11-18T10:22:00Z
i_0124,user_111,r_0020,view,,2025-11-18T10:23:00Z
i_0125,user_112,r_curd_rice_0001,view,,2025-11-18T11:00:00Z
i_0126,user_113,r_curd_rice_0001,attempt,,2025-11-18T11:10:00Z
i_0127,user_114,r_0002,like,,2025-11-18T11:12:00Z
i_0128,user_115,r_0003,view,,2025-11-18T11:13:00Z
i_0129,user_100,r_0004,view,,2025-11-18T11:14:00Z
i_0130,user_101,r_0005,view,,2025-11-18T11:15:00Z
i_0131,user_102,r_0006,like,,2025-11-18T11:16:00Z
i_0132,user_103,r_0007,rating,4.0,2025-11-18T11:17:00Z
i_0133,user_104,r_0008,view,,2025-11-18T11:18:00Z
i_0134,user_105,r_0009,view,,2025-11-18T11:19:00Z
i_0135,user_106,r_0010,like,,2025-11-18T11:20:00Z
i_0136,user_107,r_0011,view,,2025-11-18T11:21:00Z
i_0137,user_108,r_0012,view,,2025-11-18T11:22:00Z
i_0138,user_109,r_0013,like,,2025-11-18T11:23:00Z
i_0139,user_110,r_0014,view,,2025-11-18T11:24:00Z
i_0140,user_111,r_0015,view,,2025-11-18T11:25:00Z
i_0141,user_112,r_0016,view,,2025-11-18T11:26:00Z
i_0142,user_113,r_0017,like,,2025-11-18T11:27:00Z
i_0143,user_114,r_0018,view,,2025-11-18T11:28:00Z
i_0144,user_115,r_0019,rating,5.0,2025-11-18T11:29:00Z
i_0145,user_100,r_0020,view,,2025-11-18T11:30:00Z
i_0146,user_101,r_curd_rice_0001,view,,2025-11-18T12:00:00Z
i_0147,user_102,r_curd_rice_0001,like,,2025-11-18T12:02:00Z
i_0148,user_103,r_0002,view,,2025-11-18T12:05:00Z
i_0149,user_104,r_0003,attempt,,2025-11-18T12:06:00Z
i_0150,user_105,r_0004,view,,2025-11-18T12:07:00Z
i_0151,user_106,r_0005,view,,2025-11-18T12:08:00Z
i_0152,user_107,r_0006,like,,2025-11-18T12:09:00Z
i_0153,user_108,r_0007,view,,2025-11-18T12:10:00Z
i_0154,user_109,r_0008,view,,2025-11-18T12:11:00Z
i_0155,user_110,r_0009,like,,2025-11-18T12:12:00Z
i_0156,user_111,r_0010,view,,2025-11-18T12:13:00Z
i_0157,user_112,r_0011,rating,5.0,2025-11-18T12:14:00Z
i_0158,user_113,r_0012,view,,2025-11-18T12:15:00Z
i_0159,user_114,r_0013,view,,2025-11-18T12:16:00Z
i_0160,user_115,r_0014,like,,2025-11-18T12:17:00Z
i_0161,user_100,r_0015,view,,2025-11-18T12:18:00Z
i_0162,user_101,r_0016,view,,2025-11-18T12:19:00Z
i_0163,user_102,r_0017,view,,2025-11-18T12:20:00Z
i_0164,user_103,r_0018,like,,2025-11-18T12:21:00Z
i_0165,user_104,r_0019,view,,2025-11-18T12:22:00Z
i_0166,user_105,r_0020,view,,2025-11-18T12:23:00Z
i_0167,user_106,r_curd_rice_0001,view,,2025-11-18T13:00:00Z
i_0168,user_107,r_curd_rice_0001,like,,2025-11-18T13:05:00Z
i_0169,user_108,r_0002,rating,4.0,2025-11-18T13:06:00Z
i_0170,user_109,r_0003,view,,2025-11-18T13:07:00Z
i_0171,user_110,r_0004,view,,2025-11-18T13:08:00Z
i_0172,user_111,r_0005,like,,2025-11-18T13:09:00Z
i_0173,user_112,r_0006,view,,2025-11-18T13:10:00Z
i_0174,user_113,r_0007,view,,2025-11-18T13:11:00Z
i_0175,user_114,r_0008,like,,2025-11-18T13:12:00Z
i_0176,user_115,r_0009,view,,2025-11-18T13:13:00Z
i_0177,user_100,r_0010,rating,5.0,2025-11-18T13:14:00Z
i_0178,user_101,r_0011,view,,2025-11-18T13:15:00Z
i_0179,user_102,r_0012,view,,2025-11-18T13:16:00Z
i_0180,user_103,r_0013,like,,2025-11-18T13:17:00Z
